datetm,open,high,low,close,volume,amount
2020-06-19T10:30:00+0530,1683.95,1685.75,1683.55,1685.3,59800,0
2020-06-19T10:31:00+0530,1685,1685.8,1684.5,1685.5,44427,0
2020-06-19T10:32:00+0530,1685.7,1688.15,1685,1687.9,157222,0
2020-06-19T10:33:00+0530,1687.9,1687.9,1686.2,1687.35,46575,0
2020-06-19T10:34:00+0530,1687,1687.45,1685.95,1685.95,46296,0
2020-06-19T10:35:00+0530,1686,1686,1683.7,1684.6,61044,0
2020-06-19T10:36:00+0530,1684.6,1686,1684,1686,38577,0
2020-06-19T10:37:00+0530,1686,1686.5,1685.05,1685.75,20124,0
2020-06-19T10:38:00+0530,1685.8,1686,1685.25,1685.25,22896,0
2020-06-19T10:39:00+0530,1685.25,1685.95,1684.15,1685.5,26887,0
2020-06-19T10:40:00+0530,1685.5,1686,1685.05,1685.3,22127,0
2020-06-19T10:41:00+0530,1685.35,1685.5,1684.6,1684.9,24138,0
2020-06-19T10:42:00+0530,1684.9,1685.2,1684,1684.5,18649,0
2020-06-19T10:43:00+0530,1684,1684.5,1682.7,1683.7,41013,0
2020-06-19T10:44:00+0530,1683.6,1683.75,1682.55,1683,24728,0
2020-06-19T10:45:00+0530,1682.65,1684.35,1682.4,1683.6,58127,0
2020-06-19T10:46:00+0530,1683.6,1684.5,1683,1684,24174,0
2020-06-19T10:47:00+0530,1683.5,1683.7,1681.45,1681.6,49385,0
2020-06-19T10:48:00+0530,1681.5,1682.5,1681,1681.55,59171,0
2020-06-19T10:49:00+0530,1682,1683.15,1681.1,1682.9,54877,0
2020-06-19T10:50:00+0530,1682.9,1683.1,1681.1,1682.3,51069,0
2020-06-19T10:51:00+0530,1681.95,1682.5,1681.05,1681.55,25789,0
2020-06-19T10:52:00+0530,1681.05,1681.55,1680,1680.3,79098,0
2020-06-19T10:53:00+0530,1680.95,1681,1678.6,1680.2,101598,0
2020-06-19T10:54:00+0530,1680.65,1680.8,1679.4,1680.2,41895,0
2020-06-19T10:55:00+0530,1680.15,1680.8,1680.05,1680.75,30780,0
2020-06-19T10:56:00+0530,1680.75,1680.75,1679.25,1680.15,42481,0
2020-06-19T10:57:00+0530,1680,1680.6,1679.2,1680.35,26875,0
2020-06-19T10:58:00+0530,1680.75,1680.75,1679,1679.5,26259,0
2020-06-19T10:59:00+0530,1679.4,1679.4,1678,1678.55,46047,0
2020-06-19T11:00:00+0530,1678.7,1678.75,1678,1678.65,28981,0
2020-06-19T11:01:00+0530,1678.6,1678.65,1676.3,1677.4,53990,0
2020-06-19T11:02:00+0530,1677.4,1677.4,1676.25,1676.45,57150,0
2020-06-19T11:03:00+0530,1676.45,1677.75,1676.3,1677.5,33651,0
2020-06-19T11:04:00+0530,1677.9,1682,1677.5,1681,104993,0
2020-06-19T11:05:00+0530,1680.55,1682.4,1680.4,1682.1,39232,0
2020-06-19T11:06:00+0530,1682.75,1683.4,1681.4,1681.5,48731,0
2020-06-19T11:07:00+0530,1681,1681.5,1679.2,1680.9,43039,0
2020-06-19T11:08:00+0530,1680.9,1682.7,1680.2,1681.5,58634,0
2020-06-19T11:09:00+0530,1681.2,1682.8,1680.4,1682.5,29547,0
2020-06-19T11:10:00+0530,1681.9,1682.5,1681.35,1682.4,23506,0
2020-06-19T11:11:00+0530,1682.2,1684.8,1682.2,1684.8,70966,0
2020-06-19T11:12:00+0530,1684.55,1684.95,1684.05,1684.75,54448,0
2020-06-19T11:13:00+0530,1684.75,1685.9,1683.9,1685.9,87079,0
2020-06-19T11:14:00+0530,1685.9,1687.05,1684.4,1684.7,106287,0
2020-06-19T11:15:00+0530,1684.9,1684.9,1682.95,1683,36913,0
2020-06-19T11:16:00+0530,1683,1683,1681.7,1682,43734,0
2020-06-19T11:17:00+0530,1682.25,1684.15,1681.85,1684,30246,0
2020-06-19T11:18:00+0530,1684,1684.8,1684,1684.15,17480,0
2020-06-19T11:19:00+0530,1684.15,1684.55,1682.65,1684.55,29125,0
2020-06-19T11:20:00+0530,1684.7,1684.9,1683.5,1684.85,19954,0
2020-06-19T11:21:00+0530,1684.85,1686,1684.65,1685.5,45688,0
2020-06-19T11:22:00+0530,1685.8,1686.5,1685.5,1685.7,42169,0
2020-06-19T11:23:00+0530,1685.5,1685.5,1684,1684,33435,0
2020-06-19T11:24:00+0530,1684.15,1684.7,1684,1684.5,18624,0
2020-06-19T11:25:00+0530,1684.7,1684.7,1682,1682.55,36332,0
2020-06-19T11:26:00+0530,1682.55,1682.75,1682.05,1682.55,19642,0
2020-06-19T11:27:00+0530,1682.55,1682.7,1682.25,1682.5,26776,0
2020-06-19T11:28:00+0530,1682.55,1683.25,1682.3,1682.55,40170,0
2020-06-19T11:29:00+0530,1682.6,1683.7,1681.3,1682.7,51328,0
2020-06-19T11:30:00+0530,1682.5,1683.5,1681.95,1682.85,20944,0
2020-06-19T11:31:00+0530,1682.7,1683,1681.5,1681.8,28291,0
2020-06-19T11:32:00+0530,1681.5,1682.5,1680.7,1681.9,36315,0
2020-06-19T11:33:00+0530,1681.9,1683,1681.35,1682.2,26357,0
2020-06-19T11:34:00+0530,1682.2,1682.95,1682.1,1682.7,11054,0
2020-06-19T11:35:00+0530,1682.55,1683.5,1682.2,1683.45,18109,0
2020-06-19T11:36:00+0530,1683.5,1683.5,1682.5,1683.2,13136,0
2020-06-19T11:37:00+0530,1683.5,1683.5,1682.5,1682.65,11538,0
2020-06-19T11:38:00+0530,1682.65,1684.7,1682.55,1683,21775,0
2020-06-19T11:39:00+0530,1683.1,1683.9,1682.55,1682.6,17512,0
2020-06-19T11:40:00+0530,1683.15,1684.5,1682.55,1684.3,15986,0
2020-06-19T11:41:00+0530,1684.3,1684.75,1683.05,1683.6,15949,0
2020-06-19T11:42:00+0530,1683.3,1684.5,1683.05,1684.1,15488,0
2020-06-19T11:43:00+0530,1684.1,1684.9,1683.95,1684.15,17050,0
2020-06-19T11:44:00+0530,1684.15,1684.25,1683.05,1683.65,14265,0
2020-06-19T11:45:00+0530,1683.75,1684.5,1683,1684.2,24329,0
2020-06-19T11:46:00+0530,1684.4,1684.4,1682.5,1683.3,20408,0
2020-06-19T11:47:00+0530,1683.3,1683.65,1682.55,1682.95,8434,0
2020-06-19T11:48:00+0530,1682.95,1684.1,1682.95,1684,16168,0
2020-06-19T11:49:00+0530,1684,1686,1683.95,1685.1,67838,0
2020-06-19T11:50:00+0530,1685.1,1686.9,1685,1686.45,42231,0
2020-06-19T11:51:00+0530,1686.85,1687,1685.6,1686.05,34666,0
2020-06-19T11:52:00+0530,1686.4,1686.8,1685.6,1686.2,26059,0
2020-06-19T11:53:00+0530,1686.1,1686.2,1684.8,1685.05,19238,0
2020-06-19T11:54:00+0530,1685.05,1685.6,1684.9,1685,14349,0
2020-06-19T11:55:00+0530,1685.35,1685.4,1684.75,1684.95,11972,0
2020-06-19T11:56:00+0530,1685,1685.5,1684.25,1684.45,30399,0
2020-06-19T11:57:00+0530,1684.25,1684.45,1683.6,1683.9,18250,0
2020-06-19T11:58:00+0530,1683.9,1685.15,1683.9,1684.2,20509,0
2020-06-19T11:59:00+0530,1684.15,1685.1,1683.95,1684.65,14605,0
2020-06-19T12:00:00+0530,1685.35,1685.85,1684.65,1685.15,23299,0
2020-06-19T12:01:00+0530,1685.9,1686.5,1684.8,1685,38291,0
2020-06-19T12:02:00+0530,1683.15,1684.5,1683,1683,51052,0
2020-06-19T12:03:00+0530,1683.45,1683.95,1683,1683.5,17979,0
2020-06-19T12:04:00+0530,1683.5,1684.75,1683,1684.75,19814,0
2020-06-19T12:05:00+0530,1684.75,1685.1,1683.7,1683.7,12820,0
2020-06-19T12:06:00+0530,1684.25,1684.5,1683.35,1683.8,12887,0
2020-06-19T12:07:00+0530,1683.8,1684,1683.2,1684,11316,0
